repeat,fold,f1_macro_weighted,f1_macro_unweighted,delta
0,0,0.6715457801157598,0.7147457848698571,-0.04320000475409724
0,1,0.6097699120280426,0.5388906508549366,0.07087926117310606
0,2,0.5589348592815062,0.6070197066144355,-0.04808484733292928
0,3,0.6513212770422088,0.49525836928196104,0.15606290776024773
0,4,0.4146267772186013,0.5760718462823726,-0.16144506906377132
1,0,0.7123045125639339,0.7051433069854123,0.007161205578521623
1,1,0.609741819804845,0.5926864537987935,0.01705536600605151
1,2,0.5923297613359726,0.5084214920786128,0.08390826925735984
1,3,0.625762437608109,0.6115218935992954,0.014240544008813583
1,4,0.5405993146638307,0.5555223123359546,-0.014922997672123905
2,0,0.6168405266231353,0.5609629844471102,0.05587754217602503
2,1,0.5498957024440104,0.5908434422720137,-0.04094773982800326
2,2,0.5312121212121211,0.5887283799455357,-0.057516258733414594
2,3,0.5133798974135109,0.5583815658517117,-0.04500166843820086
2,4,0.651815790798349,0.6435011771853877,0.008314613612961264
