class,n_clean,recall_weighted_mean,recall_weighted_std,recall_unweighted_mean,recall_unweighted_std,delta_mean,delta_std
gas_influence,31,0.5333333333333333,0.20098558580487347,0.49999999999999994,0.18088075918786847,0.033333333333333326,0.24344333682450645
collide_pump_and_vibration,35,0.7047619047619047,0.2191067651588759,0.6571428571428571,0.24625474496323846,0.04761904761904761,0.22695003153213983
vibration,46,0.2681481481481482,0.19032445455373248,0.26888888888888896,0.1782335427667749,-0.0007407407407407492,0.28543313621556454
full_load_production,50,0.7266666666666667,0.19073791542572857,0.6533333333333334,0.15522640914238178,0.07333333333333333,0.22509257354845505
severe_insufficient_liquid_supply,52,0.913939393939394,0.09148303670905138,0.883030303030303,0.10093229326479936,0.030909090909090917,0.0881262376720677
pump_leakage,65,0.4461538461538463,0.18887037959247316,0.4307692307692308,0.13882735558113193,0.015384615384615396,0.21795949122264008
gas_influence_and_vibration,69,0.6527472527472526,0.14552217695853467,0.6868131868131868,0.1711506018324188,-0.03406593406593404,0.21475013072194202
natural_flowing,85,0.5098039215686274,0.21286672483992525,0.5843137254901961,0.149916217607909,-0.07450980392156861,0.2194977715346638
insufficient_liquid_supply_and_vibration,106,0.7316017316017316,0.16352482840458196,0.7392496392496393,0.08062741163119011,-0.007647907647907648,0.1798098334605959
severe_vibration,129,0.5351794871794873,0.15489954388379312,0.5526153846153846,0.1296437670688955,-0.017435897435897442,0.2124865202162203
