sha1,idx,relpath,class,filename,file_size_bytes,width,height
176da3a3da95409daf1155677cf096a5262a52de,86,full_load_production/Screenshot 2026-05-05 140639.png,full_load_production,Screenshot 2026-05-05 140639.png,26134,516,349
176da3a3da95409daf1155677cf096a5262a52de,455,pump_leakage/Screenshot 2026-05-05 140639.png,pump_leakage,Screenshot 2026-05-05 140639.png,26134,516,349
2360f2e520da2863e251f46a143058b6b310ca80,319,natural_flowing/Screenshot 2026-04-20 124848.png,natural_flowing,Screenshot 2026-04-20 124848.png,13479,281,194
2360f2e520da2863e251f46a143058b6b310ca80,571,severe_vibration/Screenshot 2026-04-20 124848.png,severe_vibration,Screenshot 2026-04-20 124848.png,13479,281,194
2615678a91af022ffbfe4238cccecae726d69a25,335,natural_flowing/Screenshot 2026-04-22 154236.png,natural_flowing,Screenshot 2026-04-22 154236.png,29792,508,340
2615678a91af022ffbfe4238cccecae726d69a25,669,vibration/Screenshot 2026-04-22 154236.png,vibration,Screenshot 2026-04-22 154236.png,29792,508,340
4d30394f598eeb6127398b19dbac64d54f60b7a3,385,natural_flowing/Screenshot 2026-05-05 140648.png,natural_flowing,Screenshot 2026-05-05 140648.png,29411,518,355
4d30394f598eeb6127398b19dbac64d54f60b7a3,456,pump_leakage/Screenshot 2026-05-05 140648.png,pump_leakage,Screenshot 2026-05-05 140648.png,29411,518,355
5ff043ea3546230c4169b6cdf1d4904dac538114,119,gas_influence/Screenshot 2026-05-05 140658.png,gas_influence,Screenshot 2026-05-05 140658.png,26208,514,363
5ff043ea3546230c4169b6cdf1d4904dac538114,694,vibration/Screenshot 2026-05-05 140658.png,vibration,Screenshot 2026-05-05 140658.png,26208,514,363
70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,103,gas_influence/Screenshot 2026-04-22 155204.png,gas_influence,Screenshot 2026-04-22 155204.png,26111,532,333
70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,160,gas_influence_and_vibration/Screenshot 2026-04-22 155204.png,gas_influence_and_vibration,Screenshot 2026-04-22 155204.png,26111,532,333
70bf43d4b232d37f1f4ab57241eb1e3caf73fd74,673,vibration/Screenshot 2026-04-22 155204.png,vibration,Screenshot 2026-04-22 155204.png,26111,532,333
85804c6c8e43b4adde2d174ce766eab755598290,384,natural_flowing/Screenshot 2026-05-05 140627.png,natural_flowing,Screenshot 2026-05-05 140627.png,29088,528,364
85804c6c8e43b4adde2d174ce766eab755598290,454,pump_leakage/Screenshot 2026-05-05 140627.png,pump_leakage,Screenshot 2026-05-05 140627.png,29088,528,364
96c3cfa70782e933bec47afa208a284a902fe2a9,299,natural_flowing/Screenshot 2026-04-04 171525.png,natural_flowing,Screenshot 2026-04-04 171525.png,32222,505,386
96c3cfa70782e933bec47afa208a284a902fe2a9,515,severe_vibration/Screenshot 2026-04-04 171525.png,severe_vibration,Screenshot 2026-04-04 171525.png,32222,505,386
9dea713c591449329cdef42600afc0c8ff3ccd28,64,full_load_production/Screenshot 2026-04-24 152425.png,full_load_production,Screenshot 2026-04-24 152425.png,13731,300,203
9dea713c591449329cdef42600afc0c8ff3ccd28,682,vibration/Screenshot 2026-04-24 152425.png,vibration,Screenshot 2026-04-24 152425.png,13731,300,203
ae31473533414f2f3d1244117d4d0741703f8760,298,natural_flowing/Screenshot 2026-04-04 171417.png,natural_flowing,Screenshot 2026-04-04 171417.png,29703,524,400
ae31473533414f2f3d1244117d4d0741703f8760,514,severe_vibration/Screenshot 2026-04-04 171417.png,severe_vibration,Screenshot 2026-04-04 171417.png,29703,524,400
d3d77796110b80812d0921812c454d45aef58264,439,pump_leakage/Screenshot 2026-04-27 094001.png,pump_leakage,Screenshot 2026-04-27 094001.png,28735,507,365
d3d77796110b80812d0921812c454d45aef58264,685,vibration/Screenshot 2026-04-27 094001.png,vibration,Screenshot 2026-04-27 094001.png,28735,507,365
e040de2a4061a8496a3308af9310625fc85ed400,351,natural_flowing/Screenshot 2026-04-22 155240.png,natural_flowing,Screenshot 2026-04-22 155240.png,26436,510,362
e040de2a4061a8496a3308af9310625fc85ed400,599,severe_vibration/Screenshot 2026-04-22 155240.png,severe_vibration,Screenshot 2026-04-22 155240.png,26436,510,362
ecedf37912cdcf8d8c1955b2583c79ff23bfe1a4,386,natural_flowing/Screenshot 2026-05-05 140726.png,natural_flowing,Screenshot 2026-05-05 140726.png,27629,559,347
ecedf37912cdcf8d8c1955b2583c79ff23bfe1a4,458,pump_leakage/Screenshot 2026-05-05 140726.png,pump_leakage,Screenshot 2026-05-05 140726.png,27629,559,347
