idx,relpath,class,sha1,conflict_group,excluded
0,collide_pump_and_vibration/IMG_20260524_101625.jpg,collide_pump_and_vibration,f440bd6055758d734a50144af89a8136adb20341,,False
1,collide_pump_and_vibration/IMG_20260524_101635.jpg,collide_pump_and_vibration,40779afa62b6919d661c63af805af5ce39cd38f5,,False
2,collide_pump_and_vibration/IMG_20260524_101645.jpg,collide_pump_and_vibration,cd580ac31c02df76c451624ef11c31c68ddc40c0,,False
3,collide_pump_and_vibration/IMG_20260524_101655.jpg,collide_pump_and_vibration,5c4df2cc20854775610bbad040562d4bb8ea0e2a,,False
4,collide_pump_and_vibration/IMG_20260524_101705.jpg,collide_pump_and_vibration,4690653e1b3ef87057e6c2beebb4f71a48d5fc43,,False
5,collide_pump_and_vibration/IMG_20260524_101725.jpg,collide_pump_and_vibration,eb49cd06f5b5b525dcb39d2903030192ae6c3bee,,False
6,collide_pump_and_vibration/IMG_20260524_101736.jpg,collide_pump_and_vibration,19b402c5d0405741233d18dc2e1e4e9bbab08a45,,False
7,collide_pump_and_vibration/Screenshot 2026-04-18 125532.png,collide_pump_and_vibration,d88cdd72acb04db9914c646b42ff773a4f0d8d2d,,False
8,collide_pump_and_vibration/Screenshot 2026-04-18 131648.png,collide_pump_and_vibration,c5699e942616dadef06cbc7ba9aac18cb2d6620a,,False
9,collide_pump_and_vibration/Screenshot 2026-04-18 132807.png,collide_pump_and_vibration,d48330bbbc390e8f7a29fd2b8e27fa354610094e,,False
10,collide_pump_and_vibration/Screenshot 2026-04-18 132919.png,collide_pump_and_vibration,051e9f6283de20b9c17e5ee106c6bfc6ab59ef7e,,False
11,collide_pump_and_vibration/Screenshot 2026-04-18 134030.png,collide_pump_and_vibration,5574361da689ae32560ba885fe0d9dada4a7d52a,,False
12,collide_pump_and_vibration/Screenshot 2026-04-18 135549.png,collide_pump_and_vibration,fa410a6557f307fa6b559727d34cd3d7a4f57bac,,False
13,collide_pump_and_vibration/Screenshot 2026-04-18 135637.png,collide_pump_and_vibration,73db1829199687a54ed5c77b1205b356c952db56,,False
14,collide_pump_and_vibration/Screenshot 2026-04-18 135648.png,collide_pump_and_vibration,647c86d49265f4d2156bf53a92708706b5585b21,,False
15,collide_pump_and_vibration/Screenshot 2026-04-18 135728.png,collide_pump_and_vibration,3950f02addfafb7b4ee40689c28c45e5bd1de00e,,False
16,collide_pump_and_vibration/Screenshot 2026-04-18 141226.png,collide_pump_and_vibration,bf6ca27ce33e1eb2bc4ca98a04f0d6a2aeeb910e,,False
17,collide_pump_and_vibration/Screenshot 2026-04-18 141252.png,collide_pump_and_vibration,84d5a225b847a6389d45e72274a3619df9e9ef6d,,False
18,collide_pump_and_vibration/Screenshot 2026-04-18 141340.png,collide_pump_and_vibration,5f8915538cc86aeb9a1ece13c6781d63f6240a02,,False
19,collide_pump_and_vibration/Screenshot 2026-04-18 142359.png,collide_pump_and_vibration,9ab915bdde3431b36b84b7fcfd6110d7651bc275,,False
20,collide_pump_and_vibration/Screenshot 2026-04-21 131431.png,collide_pump_and_vibration,3b9ae8832267e4c70f2ed880be37b73706cf617c,,False
21,collide_pump_and_vibration/Screenshot 2026-04-21 131521.png,collide_pump_and_vibration,e70a8510c68f2b01f34d572892adb7ecc371c0e8,,False
22,collide_pump_and_vibration/Screenshot 2026-04-21 131555.png,collide_pump_and_vibration,eaa34ad430cba8e513d0644a6d89a861c07769e2,,False
23,collide_pump_and_vibration/Screenshot 2026-04-21 131600.png,collide_pump_and_vibration,e172886afadd4db1dcf22b87565c9ad14f827f26,,False
24,collide_pump_and_vibration/Screenshot 2026-04-21 132307.png,collide_pump_and_vibration,4f82b29da93f7720d6daa74aafde1af062c65288,,False
25,collide_pump_and_vibration/Screenshot 2026-04-21 132317.png,collide_pump_and_vibration,72294a19f9eef955f2c174a0941cca4ce497fe64,,False
26,collide_pump_and_vibration/Screenshot 2026-04-21 132418.png,collide_pump_and_vibration,50aea0525e2eae645e322dd53368fcd973ce932c,,False
