key,epochs,batch,lr,f1_macro_val,source
m_ep25_bs8_lr1e-02,25,8,0.01,0.7657289055973265,legacy_registry
m_ep25_bs8_lr1e-03,25,8,0.001,0.7568688399722883,legacy_registry
m_ep25_bs32_lr1e-02,25,32,0.01,0.7493186769657358,legacy_registry
m_ep50_bs32_lr1e-03,50,32,0.001,0.6828231591275069,this_script
m_ep50_bs8_lr1e-02,50,8,0.01,0.6764726507713885,this_script
m_ep25_bs16_lr1e-03,25,16,0.001,0.6734725703146756,legacy_registry
m_ep50_bs32_lr1e-02,50,32,0.01,0.6600240183792816,this_script
m_ep25_bs16_lr1e-02,25,16,0.01,0.6577645093124969,legacy_registry
m_ep50_bs8_lr1e-03,50,8,0.001,0.6548100048100048,this_script
m_ep50_bs16_lr1e-03,50,16,0.001,0.6512722060548146,this_script
m_ep50_bs16_lr1e-02,50,16,0.01,0.6323493556252178,this_script
m_ep25_bs32_lr1e-03,25,32,0.001,0.630958975664858,legacy_registry
m_ep50_bs16_lr1e-04,50,16,0.0001,0.30958443854995576,this_script
m_ep50_bs32_lr1e-04,50,32,0.0001,0.16365079365079366,this_script
m_ep25_bs8_lr1e-04,25,8,0.0001,0.1107781155015197,legacy_registry
m_ep25_bs32_lr1e-04,25,32,0.0001,0.1,legacy_registry
m_ep25_bs16_lr1e-04,25,16,0.0001,0.0978064516129032,legacy_registry
m_ep50_bs8_lr1e-04,50,8,0.0001,0.0487179487179487,legacy_registry
