cluster,cluster_size,idx,relpath,class,sha1,label_consistent,n_folds_straddled,dev_straddles,corpus_fingerprint
1,2,2,collide_pump_and_vibration/IMG_20260524_101645.jpg,collide_pump_and_vibration,cd580ac31c02df76c451624ef11c31c68ddc40c0,False,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
1,2,521,severe_vibration/Screenshot 2026-04-07 081847.png,severe_vibration,620bcc11fb7a41a4ab3769f3a3af198223eb7a13,False,6,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
2,2,39,full_load_production/Screenshot 2026-04-18 143339.png,full_load_production,f4254d672f94032dc91171335a87f8d3ef3954c7,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
2,2,110,gas_influence/Screenshot 2026-04-27 135513.png,gas_influence,042c513a8215a1a6dfe6a82d0764a81d02885404,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
3,2,43,full_load_production/Screenshot 2026-04-18 143514.png,full_load_production,fd2fe451b5239d3e9d986196be732b08f1783ee7,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
3,2,133,gas_influence_and_vibration/Screenshot 2026-04-18 123426.png,gas_influence_and_vibration,726b2f6d235f8df53f551a118139f73564a73715,False,6,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
4,3,48,full_load_production/Screenshot 2026-04-19 115500.png,full_load_production,d522391a03d657e8fe16810dacc5128729b58004,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
4,3,395,pump_leakage/IMG_20260524_101029.jpg,pump_leakage,07693faa1d98f18df4cf5d97080a6c56c958ab78,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
4,3,457,pump_leakage/Screenshot 2026-05-05 140715.png,pump_leakage,261658f81e6d308ba42127675a7b53a48f8774e9,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
5,2,56,full_load_production/Screenshot 2026-04-21 125157.png,full_load_production,8c082f681d9b58869981d270e6f1f447c3d0fb4f,False,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
5,2,418,pump_leakage/Screenshot 2026-04-21 132235.png,pump_leakage,03eb7e9580d04af19d0e2df413bc21f610dbd865,False,4,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
6,2,68,full_load_production/Screenshot 2026-04-26 130402.png,full_load_production,6a3428b44a10072859759af8dfe57ab9a07ea669,False,5,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
6,2,167,gas_influence_and_vibration/Screenshot 2026-04-26 125321.png,gas_influence_and_vibration,a6f7f17adaf5ae4507e60dea128b5f6255fd3408,False,5,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
7,2,81,full_load_production/Screenshot 2026-04-27 135936.png,full_load_production,ff955887e8a72c8cbd9fdd10ee50b92bee918c13,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
7,2,657,vibration/Screenshot 2026-04-19 121917.png,vibration,2ac36c3602c8ad1f7d8a0c6afd408d7bfc5b2afb,False,4,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
8,2,84,full_load_production/Screenshot 2026-05-01 090248.png,full_load_production,a0eb6c7ff6b6ff4e85ee870ff4e77e7b760c7725,False,5,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
8,2,507,severe_insufficient_liquid_supply/Screenshot 2026-04-27 100358.png,severe_insufficient_liquid_supply,2e0a656fb0d190c5b84a64ce65da933c64625a57,False,5,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
9,3,87,gas_influence/Screenshot 2026-04-18 143200.png,gas_influence,01176a3690a6f664c37bf07282174abf1179b312,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
9,3,229,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-18 141247.png,insufficient_liquid_supply_and_vibration,c1277adf561fabdb70f164484122d3348659faf4,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
9,3,269,insufficient_liquid_supply_and_vibration/Screenshot 2026-04-23 125543.png,insufficient_liquid_supply_and_vibration,792783093deeb7d046e92cd53df8b50c5eec3d76,False,8,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
10,3,89,gas_influence/Screenshot 2026-04-18 143237.png,gas_influence,eb6f6f0d4e3359af7dd08fcede29f0e18924beaf,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
10,3,448,pump_leakage/Screenshot 2026-04-27 205131.png,pump_leakage,80c281f6e4c123de1de0bb4a29afb97d7d4d93d9,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
10,3,488,severe_insufficient_liquid_supply/Screenshot 2026-04-19 122145.png,severe_insufficient_liquid_supply,108a4a2a68a1ad2c3fd90b3b64b02cd87b3c6048,False,5,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,4,93,gas_influence/Screenshot 2026-04-19 123501.png,gas_influence,c4787cd3bd220dd8dd138ac4b9e813e3d402ae89,False,9,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,4,120,gas_influence_and_vibration/IMG_20260524_101332.jpg,gas_influence_and_vibration,71ab15019cb9be252213474b07ba81266d1d7e99,False,9,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,4,148,gas_influence_and_vibration/Screenshot 2026-04-19 122014.png,gas_influence_and_vibration,335d2b6401ad1da962d6030a9e82f7791f0a35f2,False,9,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
11,4,187,gas_influence_and_vibration/Screenshot 2026-05-01 090050.png,gas_influence_and_vibration,8c5af98599a756647c388d5a35f3c4da3f72a98e,False,9,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
12,2,95,gas_influence/Screenshot 2026-04-19 123657.png,gas_influence,c8edb76493908584e61ebb24f1f10802631f29be,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
12,2,663,vibration/Screenshot 2026-04-21 132257.png,vibration,e95176ebaad29c9be4cc09b7d31c63fc4332171a,False,3,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,5,99,gas_influence/Screenshot 2026-04-20 124636.png,gas_influence,28df880cb7b645fe4353064baab236020e60a4d1,False,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,5,113,gas_influence/Screenshot 2026-04-27 205039.png,gas_influence,fe8dfd1b83725abeda13ef144e9ff6d341e50720,False,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,5,115,gas_influence/Screenshot 2026-05-01 090138.png,gas_influence,ae9ff5d1384d3f9e239fe5be3925ee729e0c7b48,False,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,5,139,gas_influence_and_vibration/Screenshot 2026-04-19 115608.png,gas_influence_and_vibration,c4fcb577315cc88955f28e8ab7e618eb85e922ef,False,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
13,5,182,gas_influence_and_vibration/Screenshot 2026-04-30 112059.png,gas_influence_and_vibration,4d778498d22250c82a03ceafe9382b9c02d6fd40,False,9,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,131,gas_influence_and_vibration/Screenshot 2026-04-07 081948.png,gas_influence_and_vibration,583509c15c4abaa2b86d1ea58b38a19828b0dd53,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,459,severe_insufficient_liquid_supply/IMG_20260524_100235.jpg,severe_insufficient_liquid_supply,76a986f5736f730bfa98d9cddc6120e010f83980,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,468,severe_insufficient_liquid_supply/Screenshot 2026-03-28 132939.png,severe_insufficient_liquid_supply,2592e9671a2a7c3f3981d55aa6663e8767decf09,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,469,severe_insufficient_liquid_supply/Screenshot 2026-03-28 151222.png,severe_insufficient_liquid_supply,86e51e00b887bc0ea0380ef9350ac23847aadbfc,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,471,severe_insufficient_liquid_supply/Screenshot 2026-04-04 171338.png,severe_insufficient_liquid_supply,95b2d43399a5919b96b5914aa0e5b7fa5ba83f7b,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,474,severe_insufficient_liquid_supply/Screenshot 2026-04-07 082009.png,severe_insufficient_liquid_supply,c7426375228fc471d0406a00fcaf502442321991,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,478,severe_insufficient_liquid_supply/Screenshot 2026-04-18 135602.png,severe_insufficient_liquid_supply,2e15be1d7d0958a42a7c89490214b3363898a777,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,495,severe_insufficient_liquid_supply/Screenshot 2026-04-21 123543.png,severe_insufficient_liquid_supply,c044d67d68594a7bff1cee23645a7b94fab6fbbf,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
14,9,498,severe_insufficient_liquid_supply/Screenshot 2026-04-24 143556.png,severe_insufficient_liquid_supply,fa8d161edb489fcfc392b02c97b1152573a71ba8,False,12,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,140,gas_influence_and_vibration/Screenshot 2026-04-19 115620.png,gas_influence_and_vibration,40c6dd518c99c9591005e8b5702ad0459f77a996,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,144,gas_influence_and_vibration/Screenshot 2026-04-19 115729.png,gas_influence_and_vibration,da2a95f593acebb41ca2375b8d0ed7501fcd1837,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,146,gas_influence_and_vibration/Screenshot 2026-04-19 115850.png,gas_influence_and_vibration,3c4427a290342b98f26ad815cc0388713dac8310,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,161,gas_influence_and_vibration/Screenshot 2026-04-23 115913.png,gas_influence_and_vibration,be97e2c0b375ade8845402a6d1142b147ecf2289,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,170,gas_influence_and_vibration/Screenshot 2026-04-27 095414.png,gas_influence_and_vibration,358c943c58755a8db97dd60f56c07e2d125b9127,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,173,gas_influence_and_vibration/Screenshot 2026-04-27 135143.png,gas_influence_and_vibration,bd40a7c10d5b67b6469bdfdd1cf8933c373cacb9,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
15,9,176,gas_influence_and_vibration/Screenshot 2026-04-27 135507.png,gas_influence_and_vibration,03d685836d1a1494be6e60d400dd557c2e763342,True,14,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
