# Paired per-fold differences between every pair of arms.
#
# Each row is arm_a minus arm_b over the folds BOTH completed, so an arm with
# runs still outstanding is compared only on what it has. n_folds says how many.
#
# READ THE EFFECT SIZE AND THE INTERVAL, NOT THE p-VALUE. The 15 folds are
# 5-fold CV repeated 3 times, so every image appears in three test partitions
# and the folds are NOT independent. Both the t interval and the Wilcoxon test
# assume independence, so the intervals are too narrow and the p-values are
# optimistic -- they overstate significance by an amount nobody here has
# quantified. mean_diff and its interval are the substance; p is reported
# because reviewers expect it, not because it is trustworthy.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-09T06:12:40+00:00
arm_a,arm_b,n_folds,mean_diff,ci95_low,ci95_high,wilcoxon_p,a_wins,b_wins,ties,ci_excludes_zero,metric
resnet18,yolo26s,15,0.098102,0.064863,0.131341,6.1e-05,15,0,0,True,f1_macro
mobilenetv3_small,yolo26s,15,0.086118,0.047477,0.124759,0.000854,13,2,0,True,f1_macro
resnet18,yolo26n,15,0.078914,0.0526,0.105229,0.000183,14,1,0,True,f1_macro
resnet18,yolo26m,15,0.071927,0.03518,0.108674,0.002625,14,1,0,True,f1_macro
mobilenetv3_small,yolo26n,15,0.066931,0.015763,0.118098,0.021545,12,3,0,True,f1_macro
mobilenetv3_small,yolo26m,15,0.059943,0.014432,0.105455,0.021545,11,4,0,True,f1_macro
yolo26m,yolo26s,15,0.026175,-0.004981,0.057331,0.229309,7,8,0,False,f1_macro
yolo26n,yolo26s,15,0.019187,-0.010695,0.04907,0.276855,8,7,0,False,f1_macro
resnet18,mobilenetv3_small,15,0.011984,-0.033086,0.057053,0.678772,7,8,0,False,f1_macro
yolo26m,yolo26n,15,0.006987,-0.016102,0.030077,0.421204,11,4,0,False,f1_macro
