group,pixel_sha1,idx,relpath,class,file_sha1,excluded,group_size,label_consistent,n_file_sha1s,already_caught_by_file_sha1,n_folds_straddled,dev_straddles,corpus_fingerprint
1,068bb39f3d8fac44,319,natural_flowing/Screenshot 2026-04-20 124848.png,natural_flowing,2360f2e520da2863e251f46a143058b6b310ca80,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
1,068bb39f3d8fac44,571,severe_vibration/Screenshot 2026-04-20 124848.png,severe_vibration,2360f2e520da2863e251f46a143058b6b310ca80,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
2,13d7de29e3406ef8,385,natural_flowing/Screenshot 2026-05-05 140648.png,natural_flowing,4d30394f598eeb6127398b19dbac64d54f60b7a3,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
2,13d7de29e3406ef8,456,pump_leakage/Screenshot 2026-05-05 140648.png,pump_leakage,4d30394f598eeb6127398b19dbac64d54f60b7a3,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
3,241428b31a372584,335,natural_flowing/Screenshot 2026-04-22 154236.png,natural_flowing,2615678a91af022ffbfe4238cccecae726d69a25,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
3,241428b31a372584,669,vibration/Screenshot 2026-04-22 154236.png,vibration,2615678a91af022ffbfe4238cccecae726d69a25,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
4,2f285379c5a43a2b,439,pump_leakage/Screenshot 2026-04-27 094001.png,pump_leakage,d3d77796110b80812d0921812c454d45aef58264,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
4,2f285379c5a43a2b,685,vibration/Screenshot 2026-04-27 094001.png,vibration,d3d77796110b80812d0921812c454d45aef58264,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
5,35f6a637d5347a02,64,full_load_production/Screenshot 2026-04-24 152425.png,full_load_production,9dea713c591449329cdef42600afc0c8ff3ccd28,True,2,False,1,True,0,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
5,35f6a637d5347a02,682,vibration/Screenshot 2026-04-24 152425.png,vibration,9dea713c591449329cdef42600afc0c8ff3ccd28,True,2,False,1,True,0,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
6,3a103c8b98595b42,351,natural_flowing/Screenshot 2026-04-22 155240.png,natural_flowing,e040de2a4061a8496a3308af9310625fc85ed400,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
6,3a103c8b98595b42,599,severe_vibration/Screenshot 2026-04-22 155240.png,severe_vibration,e040de2a4061a8496a3308af9310625fc85ed400,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
7,4813080f4c6bb61c,86,full_load_production/Screenshot 2026-05-05 140639.png,full_load_production,176da3a3da95409daf1155677cf096a5262a52de,True,2,False,1,True,0,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
7,4813080f4c6bb61c,455,pump_leakage/Screenshot 2026-05-05 140639.png,pump_leakage,176da3a3da95409daf1155677cf096a5262a52de,True,2,False,1,True,0,True,f04c12c0922c6597eb139af66ef91e9f8df56b6e
8,5189f17e8235f444,384,natural_flowing/Screenshot 2026-05-05 140627.png,natural_flowing,85804c6c8e43b4adde2d174ce766eab755598290,True,2,False,1,True,0,False,f04c12c0922c6597eb139af66ef91e9f8df56b6e
