# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: 5540888815d618d6
# generated: 2026-09-09T02:27:50+00:00
arm,repeat,fold,selected_epoch,epoch_budget,fraction_of_budget,min_val_loss_epoch,best_val_f1
yolo26n,0,0,17,25,0.68,17,0.5907326007326008
yolo26n,0,1,7,25,0.28,22,0.7116232322888669
yolo26n,0,2,24,25,0.96,19,0.6200146422205246
yolo26n,0,3,21,25,0.84,21,0.6062698412698413
yolo26n,0,4,25,25,1.0,25,0.5532939282939282
yolo26n,1,0,25,25,1.0,25,0.6290832696715049
yolo26n,1,1,19,25,0.76,24,0.6705555555555555
yolo26n,1,2,9,25,0.36,20,0.5714316239316239
yolo26n,1,3,7,25,0.28,15,0.4214971251658558
yolo26n,1,4,24,25,0.96,15,0.6114659197012139
yolo26n,2,0,24,25,0.96,15,0.6230431848852901
yolo26n,2,1,24,25,0.96,19,0.52010101010101
yolo26n,2,2,24,25,0.96,20,0.5882195582195582
yolo26n,2,3,25,25,1.0,17,0.5851143790849673
yolo26n,2,4,24,25,0.96,20,0.6015873015873016
yolo26s,0,0,37,50,0.74,7,0.5569553597417375
yolo26s,0,1,14,50,0.28,3,0.5151831501831502
yolo26s,0,2,11,50,0.22,5,0.6285930735930736
yolo26s,0,3,21,50,0.42,5,0.48540626040626045
yolo26s,0,4,17,50,0.34,5,0.47304430863254393
yolo26s,1,0,30,50,0.6,5,0.5810861524096819
yolo26s,1,1,37,50,0.74,11,0.6856598194833489
yolo26s,1,2,30,50,0.6,8,0.6410437859354268
yolo26s,1,3,36,50,0.72,19,0.42194896331738435
yolo26s,1,4,5,50,0.1,46,0.5335176651305683
yolo26s,2,0,41,50,0.82,11,0.5124098124098124
yolo26s,2,1,34,50,0.68,3,0.5890935672514621
yolo26s,2,2,3,50,0.06,3,0.5115488215488215
yolo26s,2,3,50,50,1.0,8,0.6497402597402597
yolo26s,2,4,29,50,0.58,9,0.6471732026143792
yolo26m,0,0,13,50,0.26,38,0.6031515285540052
yolo26m,0,1,15,50,0.3,47,0.6326741095162147
yolo26m,0,2,44,50,0.88,25,0.46111897390535156
yolo26m,0,3,37,50,0.74,43,0.6154382167540062
yolo26m,0,4,47,50,0.94,24,0.5035430582489406
yolo26m,1,0,49,50,0.98,46,0.7276228449912661
yolo26m,1,1,8,50,0.16,33,0.7239949249237175
yolo26m,1,2,40,50,0.8,45,0.508560606060606
yolo26m,1,3,20,50,0.4,20,0.5536907536907536
yolo26m,1,4,34,50,0.68,16,0.5908999772157667
yolo26m,2,0,12,50,0.24,21,0.6784126984126984
yolo26m,2,1,29,50,0.58,29,0.5170391888812942
yolo26m,2,2,30,50,0.6,25,0.5975560224089637
yolo26m,2,3,18,50,0.36,38,0.593011988011988
yolo26m,2,4,12,50,0.24,44,0.5427566877566877
mobilenetv3_small,0,0,38,50,0.76,4,0.5429860335742688
mobilenetv3_small,0,1,23,50,0.46,13,0.7243298368298369
mobilenetv3_small,0,2,15,50,0.3,10,0.61931989063568
mobilenetv3_small,0,3,47,50,0.94,6,0.6539821289821289
mobilenetv3_small,0,4,30,50,0.6,26,0.6407865818392134
mobilenetv3_small,1,0,35,50,0.7,11,0.7410897435897436
mobilenetv3_small,1,1,33,50,0.66,16,0.7796825396825395
mobilenetv3_small,1,2,27,50,0.54,14,0.6392528455376753
mobilenetv3_small,1,3,42,50,0.84,24,0.5948701298701299
mobilenetv3_small,1,4,37,50,0.74,18,0.6367460317460318
mobilenetv3_small,2,0,28,50,0.56,26,0.6722981366459627
mobilenetv3_small,2,1,17,50,0.34,10,0.613905407458039
mobilenetv3_small,2,2,14,50,0.28,14,0.6468791927027222
mobilenetv3_small,2,3,14,50,0.28,25,0.5450496363539842
mobilenetv3_small,2,4,49,50,0.98,11,0.7398194804851151
resnet18,0,0,35,50,0.7,35,0.686282372598162
resnet18,0,1,13,50,0.26,48,0.6372566322566322
resnet18,0,2,15,50,0.3,48,0.6574459527400704
resnet18,0,3,23,50,0.46,24,0.5636978363913348
resnet18,0,4,36,50,0.72,40,0.5208490855549679
resnet18,1,0,10,50,0.2,44,0.788470695970696
resnet18,1,1,44,50,0.88,49,0.6802238741650506
resnet18,1,2,30,50,0.6,43,0.694107997265892
resnet18,1,3,44,50,0.88,32,0.628434555640438
resnet18,1,4,38,50,0.76,44,0.6367390289449112
resnet18,2,0,20,50,0.4,44,0.6495454545454544
resnet18,2,1,30,50,0.6,41,0.7207941816637469
resnet18,2,2,46,50,0.92,46,0.606621590969417
resnet18,2,3,25,50,0.5,49,0.6115810359231411
resnet18,2,4,37,50,0.74,46,0.7017583396995162
