# Per-fold merged macro-F1, the input to taxonomy_merge.csv.
#
# Kept so any scenario pair can be given a corrected paired interval without
# recomputing the merges. `recorded_f1_macro` is the value the run itself
# wrote; the baseline scenario must reproduce it exactly, and
# --verify-reference asserts that it does.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,fold,repeat,fold_index,scenario,n_classes,macro_f1,recorded_f1_macro,support,protocol
yolo26n,r0f0,0,0,baseline,10,0.5729683054073298,0.5729683054073298,134.0,uniform
yolo26n,r0f0,0,0,M1,9,0.613173214699271,0.5729683054073298,134.0,uniform
yolo26n,r0f0,0,0,M2,9,0.6024434162645546,0.5729683054073298,134.0,uniform
yolo26n,r0f0,0,0,M3,8,0.6513583280751414,0.5729683054073298,134.0,uniform
yolo26n,r0f0,0,0,M4,5,0.6832704072140692,0.5729683054073298,134.0,uniform
yolo26n,r0f0,0,0,M5,7,0.7108076785777133,0.5729683054073298,134.0,uniform
yolo26n,r0f1,0,1,baseline,10,0.39151779576043666,0.39151779576043666,134.0,uniform
yolo26n,r0f1,0,1,M1,9,0.4132019782608512,0.39151779576043666,134.0,uniform
yolo26n,r0f1,0,1,M2,9,0.4155840146070031,0.39151779576043666,134.0,uniform
yolo26n,r0f1,0,1,M3,8,0.4429869972757904,0.39151779576043666,134.0,uniform
yolo26n,r0f1,0,1,M4,5,0.4785268427541375,0.39151779576043666,134.0,uniform
yolo26n,r0f1,0,1,M5,7,0.5168217833356605,0.39151779576043666,134.0,uniform
yolo26n,r0f2,0,2,baseline,10,0.5457363194117286,0.5457363194117286,134.0,uniform
yolo26n,r0f2,0,2,M1,9,0.5706605641500369,0.5457363194117286,134.0,uniform
yolo26n,r0f2,0,2,M2,9,0.5611413138386481,0.5457363194117286,134.0,uniform
yolo26n,r0f2,0,2,M3,8,0.59110671347261,0.5457363194117286,134.0,uniform
yolo26n,r0f2,0,2,M4,5,0.6668723986769848,0.5457363194117286,134.0,uniform
yolo26n,r0f2,0,2,M5,7,0.6193930185227379,0.5457363194117286,134.0,uniform
yolo26n,r0f3,0,3,baseline,10,0.5646400741569628,0.5646400741569628,133.0,uniform
yolo26n,r0f3,0,3,M1,9,0.5786001485735824,0.5646400741569628,133.0,uniform
yolo26n,r0f3,0,3,M2,9,0.586219531617401,0.5646400741569628,133.0,uniform
yolo26n,r0f3,0,3,M3,8,0.6046220475186529,0.5646400741569628,133.0,uniform
yolo26n,r0f3,0,3,M4,5,0.6578074326088561,0.5646400741569628,133.0,uniform
yolo26n,r0f3,0,3,M5,7,0.6340933865709293,0.5646400741569628,133.0,uniform
yolo26n,r0f4,0,4,baseline,10,0.5415226368059185,0.5415226368059185,133.0,uniform
yolo26n,r0f4,0,4,M1,9,0.5546447013188384,0.5415226368059185,133.0,uniform
yolo26n,r0f4,0,4,M2,9,0.5889104098134026,0.5415226368059185,133.0,uniform
yolo26n,r0f4,0,4,M3,8,0.6095962040163729,0.5415226368059185,133.0,uniform
yolo26n,r0f4,0,4,M4,5,0.6476101467720643,0.5415226368059185,133.0,uniform
yolo26n,r0f4,0,4,M5,7,0.663801697277432,0.5415226368059185,133.0,uniform
yolo26n,r1f0,1,0,baseline,10,0.4925162727245822,0.4925162727245822,134.0,uniform
yolo26n,r1f0,1,0,M1,9,0.5148936939729779,0.4925162727245822,134.0,uniform
yolo26n,r1f0,1,0,M2,9,0.5048064405934513,0.4925162727245822,134.0,uniform
yolo26n,r1f0,1,0,M3,8,0.5315173104815049,0.4925162727245822,134.0,uniform
yolo26n,r1f0,1,0,M4,5,0.5507717236045009,0.4925162727245822,134.0,uniform
yolo26n,r1f0,1,0,M5,7,0.577619453578533,0.4925162727245822,134.0,uniform
yolo26n,r1f1,1,1,baseline,10,0.48344902646373233,0.48344902646373233,134.0,uniform
yolo26n,r1f1,1,1,M1,9,0.5012178725414019,0.48344902646373233,134.0,uniform
yolo26n,r1f1,1,1,M2,9,0.5193676965735788,0.48344902646373233,134.0,uniform
yolo26n,r1f1,1,1,M3,8,0.543847482174688,0.48344902646373233,134.0,uniform
yolo26n,r1f1,1,1,M4,5,0.6489019607843137,0.48344902646373233,134.0,uniform
yolo26n,r1f1,1,1,M5,7,0.5849328367710721,0.48344902646373233,134.0,uniform
yolo26n,r1f2,1,2,baseline,10,0.4901083778286295,0.4901083778286295,134.0,uniform
yolo26n,r1f2,1,2,M1,9,0.5251512840071192,0.4901083778286295,134.0,uniform
yolo26n,r1f2,1,2,M2,9,0.5218135415027101,0.4901083778286295,134.0,uniform
yolo26n,r1f2,1,2,M3,8,0.565199956412771,0.4901083778286295,134.0,uniform
yolo26n,r1f2,1,2,M4,5,0.6330629643161613,0.4901083778286295,134.0,uniform
yolo26n,r1f2,1,2,M5,7,0.6285278413424866,0.4901083778286295,134.0,uniform
yolo26n,r1f3,1,3,baseline,10,0.5359654964918124,0.5359654964918124,133.0,uniform
yolo26n,r1f3,1,3,M1,9,0.5502180730250905,0.5359654964918124,133.0,uniform
yolo26n,r1f3,1,3,M2,9,0.5847891230404891,0.5359654964918124,133.0,uniform
yolo26n,r1f3,1,3,M3,8,0.6069262249590118,0.5359654964918124,133.0,uniform
yolo26n,r1f3,1,3,M4,5,0.6678682847207437,0.5359654964918124,133.0,uniform
yolo26n,r1f3,1,3,M5,7,0.652648938363224,0.5359654964918124,133.0,uniform
yolo26n,r1f4,1,4,baseline,10,0.5716124634647788,0.5716124634647788,133.0,uniform
yolo26n,r1f4,1,4,M1,9,0.6100154475154475,0.5716124634647788,133.0,uniform
yolo26n,r1f4,1,4,M2,9,0.591521204326145,0.5716124634647788,133.0,uniform
yolo26n,r1f4,1,4,M3,8,0.6372131539908179,0.5716124634647788,133.0,uniform
yolo26n,r1f4,1,4,M4,5,0.6704380520641935,0.5716124634647788,133.0,uniform
yolo26n,r1f4,1,4,M5,7,0.677750630322059,0.5716124634647788,133.0,uniform
yolo26n,r2f0,2,0,baseline,10,0.5666119066958449,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M1,9,0.6039407420457027,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M2,9,0.5975945059637898,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M3,8,0.6434622706408728,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M4,5,0.7149692197266189,0.5666119066958449,134.0,uniform
yolo26n,r2f0,2,0,M5,7,0.6797429589571234,0.5666119066958449,134.0,uniform
yolo26n,r2f1,2,1,baseline,10,0.4866537842190016,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M1,9,0.4983130457869432,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M2,9,0.519985686169261,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M3,8,0.5372688431769779,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M4,5,0.5635294117647058,0.4866537842190016,134.0,uniform
yolo26n,r2f1,2,1,M5,7,0.5880690281973247,0.4866537842190016,134.0,uniform
yolo26n,r2f2,2,2,baseline,10,0.5784275463173347,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M1,9,0.6038091121544038,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M2,9,0.5987085384068696,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M3,8,0.6297979239847642,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M4,5,0.6562469176393227,0.5784275463173347,134.0,uniform
yolo26n,r2f2,2,2,M5,7,0.7008250750411029,0.5784275463173347,134.0,uniform
yolo26n,r2f3,2,3,baseline,10,0.48283892207462004,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M1,9,0.518126670244563,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M2,9,0.5135197385506256,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M3,8,0.5570535573013121,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M4,5,0.6645689667014283,0.48283892207462004,133.0,uniform
yolo26n,r2f3,2,3,M5,7,0.6059542796384901,0.48283892207462004,133.0,uniform
yolo26n,r2f4,2,4,baseline,10,0.541551346067475,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M1,9,0.5633834327462959,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M2,9,0.5593135657651787,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M3,8,0.5860949407410649,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M4,5,0.6043031331995679,0.541551346067475,133.0,uniform
yolo26n,r2f4,2,4,M5,7,0.6315866845499254,0.541551346067475,133.0,uniform
yolo26s,r0f0,0,0,baseline,10,0.5301901009267451,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M1,9,0.5645934420645375,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M2,9,0.5737420683385115,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M3,8,0.617889823044999,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M4,5,0.5882015193996428,0.5301901009267451,134.0,uniform
yolo26s,r0f0,0,0,M5,7,0.675561852648036,0.5301901009267451,134.0,uniform
yolo26s,r0f1,0,1,baseline,10,0.4401336344814605,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M1,9,0.4890373716460673,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M2,9,0.48537327974668126,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M3,8,0.5460449397150164,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M4,5,0.6311103271893466,0.4401336344814605,134.0,uniform
yolo26s,r0f1,0,1,M5,7,0.6056427462289263,0.4401336344814605,134.0,uniform
yolo26s,r0f2,0,2,baseline,10,0.47061520629471953,0.47061520629471953,134.0,uniform
