# All 45 single-pair merges, ranked by mean macro-F1 gain, per arm.
#
# THIS IS THE CONTROL for taxonomy_merge.csv. Merging any two of ten classes
# raises macro-F1 for free. The hypothesis is that the proposed pairs are not
# merely above zero but above the REST OF THIS DISTRIBUTION.
#
# `hypothesised` names the scenario a pair belongs to, and is blank for the
# other 43.
#
# built from 75 registry record(s)
# arms: mobilenetv3_small, resnet18, yolo26m, yolo26n, yolo26s
# scripts: 03_run_cv
# corpus: f04c12c0922c6597eb139af66ef91e9f8df56b6e
# registry sha1: f54363b409c11652
# generated: 2026-09-24T08:57:27+00:00
arm,class_a,class_b,n_folds,macro_f1_mean,macro_f1_sd,gain_mean,hypothesised,within_family,rank_in_arm,protocol
mobilenetv3_small,pump_leakage,vibration,15,0.630322,0.06756,0.040317,,True,1,uniform
mobilenetv3_small,natural_flowing,pump_leakage,15,0.629284,0.065293,0.039279,M2,True,2,uniform
mobilenetv3_small,severe_vibration,vibration,15,0.626343,0.069399,0.036337,M1,True,3,uniform
mobilenetv3_small,pump_leakage,severe_vibration,15,0.624802,0.072975,0.034797,,True,4,uniform
mobilenetv3_small,natural_flowing,severe_vibration,15,0.62008,0.075014,0.030075,,True,5,uniform
mobilenetv3_small,natural_flowing,vibration,15,0.619827,0.067194,0.029822,,True,6,uniform
mobilenetv3_small,gas_influence,gas_influence_and_vibration,15,0.618727,0.065551,0.028721,,False,7,uniform
mobilenetv3_small,gas_influence_and_vibration,vibration,15,0.617145,0.068633,0.02714,,False,8,uniform
mobilenetv3_small,gas_influence,vibration,15,0.611297,0.068808,0.021291,,False,9,uniform
mobilenetv3_small,full_load_production,vibration,15,0.611187,0.070092,0.021182,,False,10,uniform
mobilenetv3_small,insufficient_liquid_supply_and_vibration,vibration,15,0.609362,0.069676,0.019357,,False,11,uniform
mobilenetv3_small,collide_pump_and_vibration,vibration,15,0.604435,0.070011,0.014429,,False,12,uniform
mobilenetv3_small,gas_influence,pump_leakage,15,0.603398,0.073784,0.013392,,False,13,uniform
mobilenetv3_small,full_load_production,pump_leakage,15,0.601855,0.078939,0.01185,,False,14,uniform
mobilenetv3_small,gas_influence_and_vibration,pump_leakage,15,0.600819,0.077452,0.010814,,False,15,uniform
mobilenetv3_small,gas_influence,natural_flowing,15,0.599442,0.070475,0.009437,,False,16,uniform
mobilenetv3_small,gas_influence,severe_vibration,15,0.597966,0.072286,0.007961,,False,17,uniform
mobilenetv3_small,severe_insufficient_liquid_supply,vibration,15,0.597002,0.070635,0.006996,,False,18,uniform
mobilenetv3_small,full_load_production,gas_influence,15,0.595684,0.075548,0.005679,,False,19,uniform
mobilenetv3_small,insufficient_liquid_supply_and_vibration,pump_leakage,15,0.595382,0.078331,0.005377,,False,20,uniform
mobilenetv3_small,collide_pump_and_vibration,severe_vibration,15,0.595305,0.076709,0.0053,,False,21,uniform
mobilenetv3_small,gas_influence_and_vibration,natural_flowing,15,0.593914,0.070129,0.003909,,False,22,uniform
mobilenetv3_small,gas_influence,insufficient_liquid_supply_and_vibration,15,0.593099,0.072273,0.003094,,False,23,uniform
mobilenetv3_small,collide_pump_and_vibration,pump_leakage,15,0.592455,0.077805,0.00245,,False,24,uniform
mobilenetv3_small,gas_influence_and_vibration,severe_vibration,15,0.591321,0.073988,0.001315,,False,25,uniform
mobilenetv3_small,collide_pump_and_vibration,gas_influence,15,0.590895,0.073795,0.00089,,False,26,uniform
mobilenetv3_small,collide_pump_and_vibration,natural_flowing,15,0.590643,0.071205,0.000638,,False,27,uniform
mobilenetv3_small,gas_influence_and_vibration,insufficient_liquid_supply_and_vibration,15,0.590413,0.07427,0.000407,,False,28,uniform
mobilenetv3_small,insufficient_liquid_supply_and_vibration,natural_flowing,15,0.587558,0.07213,-0.002448,,False,29,uniform
mobilenetv3_small,full_load_production,natural_flowing,15,0.587312,0.072636,-0.002694,,False,30,uniform
mobilenetv3_small,gas_influence,severe_insufficient_liquid_supply,15,0.586209,0.076991,-0.003796,,False,31,uniform
mobilenetv3_small,collide_pump_and_vibration,gas_influence_and_vibration,15,0.583842,0.076471,-0.006163,,False,32,uniform
mobilenetv3_small,full_load_production,gas_influence_and_vibration,15,0.583716,0.074259,-0.006289,,False,33,uniform
mobilenetv3_small,collide_pump_and_vibration,insufficient_liquid_supply_and_vibration,15,0.583223,0.071755,-0.006782,,False,34,uniform
mobilenetv3_small,full_load_production,severe_vibration,15,0.582796,0.076134,-0.00721,,False,35,uniform
mobilenetv3_small,insufficient_liquid_supply_and_vibration,severe_vibration,15,0.58278,0.076205,-0.007226,,False,36,uniform
mobilenetv3_small,pump_leakage,severe_insufficient_liquid_supply,15,0.58162,0.082726,-0.008386,,False,37,uniform
mobilenetv3_small,collide_pump_and_vibration,full_load_production,15,0.579376,0.07661,-0.010629,,False,38,uniform
mobilenetv3_small,natural_flowing,severe_insufficient_liquid_supply,15,0.576143,0.07519,-0.013862,,False,39,uniform
mobilenetv3_small,full_load_production,insufficient_liquid_supply_and_vibration,15,0.573849,0.076882,-0.016156,,False,40,uniform
mobilenetv3_small,collide_pump_and_vibration,severe_insufficient_liquid_supply,15,0.572608,0.079175,-0.017398,,False,41,uniform
mobilenetv3_small,gas_influence_and_vibration,severe_insufficient_liquid_supply,15,0.570268,0.079247,-0.019738,,False,42,uniform
mobilenetv3_small,severe_insufficient_liquid_supply,severe_vibration,15,0.569707,0.079573,-0.020298,,False,43,uniform
mobilenetv3_small,insufficient_liquid_supply_and_vibration,severe_insufficient_liquid_supply,15,0.569565,0.080646,-0.020441,,False,44,uniform
mobilenetv3_small,full_load_production,severe_insufficient_liquid_supply,15,0.567379,0.080189,-0.022626,,False,45,uniform
resnet18,natural_flowing,pump_leakage,15,0.643312,0.053049,0.041323,M2,True,1,uniform
resnet18,pump_leakage,vibration,15,0.641214,0.046087,0.039225,,True,2,uniform
resnet18,severe_vibration,vibration,15,0.639306,0.04245,0.037317,M1,True,3,uniform
resnet18,natural_flowing,vibration,15,0.63484,0.045478,0.032851,,True,4,uniform
resnet18,natural_flowing,severe_vibration,15,0.634751,0.049204,0.032762,,True,5,uniform
resnet18,pump_leakage,severe_vibration,15,0.628523,0.050767,0.026534,,True,6,uniform
resnet18,gas_influence_and_vibration,vibration,15,0.627835,0.044424,0.025846,,False,7,uniform
