arm,key,epochs,batch,lr,f1_macro_val,f1_macro_dev_test
yolo26m,m_ep50_bs8_lr1e-03,50,8,0.001,0.6293356643356645,0.5691056166056166
yolo26m,m_ep25_bs8_lr1e-02,25,8,0.01,0.6093550893550893,0.46756864867158987
yolo26m,m_ep25_bs8_lr1e-03,25,8,0.001,0.5824656502917371,0.5153535353535353
yolo26m,m_ep50_bs16_lr1e-03,50,16,0.001,0.5802716631194891,0.6079779360424522
yolo26m,m_ep50_bs32_lr1e-02,50,32,0.01,0.576607115107115,0.49672264517092096
yolo26m,m_ep25_bs32_lr1e-02,25,32,0.01,0.5763317141795402,0.5044028999674162
yolo26m,m_ep25_bs16_lr1e-02,25,16,0.01,0.5758714677135729,0.4763243029372061
yolo26m,m_ep50_bs8_lr1e-04,50,8,0.0001,0.5664901523597176,0.5670570131622763
yolo26m,m_ep50_bs8_lr1e-02,50,8,0.01,0.5663942782363834,0.4572885645486265
yolo26m,m_ep25_bs16_lr1e-03,25,16,0.001,0.5648847167325428,0.6175651015651016
yolo26m,m_ep50_bs16_lr1e-02,50,16,0.01,0.5635423272379794,0.4798612172141584
yolo26m,m_ep50_bs32_lr1e-03,50,32,0.001,0.562583916083916,0.6094601232101231
yolo26m,m_ep25_bs32_lr1e-03,25,32,0.001,0.5360822510822509,0.5551851851851851
yolo26m,m_ep50_bs16_lr1e-04,50,16,0.0001,0.503881357433989,0.4679786324786325
yolo26m,m_ep25_bs8_lr1e-04,25,8,0.0001,0.5001819948553161,0.43760902946501323
yolo26m,m_ep50_bs32_lr1e-04,50,32,0.0001,0.45117490696438073,0.3698009237139671
yolo26m,m_ep25_bs16_lr1e-04,25,16,0.0001,0.44989248224542344,0.38178116569420917
yolo26m,m_ep25_bs32_lr1e-04,25,32,0.0001,0.3432874022529195,0.2903141912752897
yolo26n,n_ep25_bs16_lr1e-03,25,16,0.001,0.6016748251748252,0.47777777777777775
yolo26n,n_ep50_bs8_lr1e-04,50,8,0.0001,0.5912426599887899,0.4967633815459903
yolo26n,n_ep50_bs32_lr1e-03,50,32,0.001,0.5877272727272728,0.4947835497835499
yolo26n,n_ep25_bs32_lr1e-03,25,32,0.001,0.5757051771757654,0.5010628984542028
yolo26n,n_ep50_bs16_lr1e-03,50,16,0.001,0.5733650608650608,0.5251967476967477
yolo26n,n_ep50_bs8_lr1e-03,50,8,0.001,0.5672923997227403,0.5328061949417449
yolo26n,n_ep25_bs8_lr1e-03,25,8,0.001,0.5633527257056669,0.46052444287738403
yolo26n,n_ep25_bs32_lr1e-02,25,32,0.01,0.5474170695423067,0.5312027612027612
yolo26n,n_ep50_bs16_lr1e-02,50,16,0.01,0.5428357100415925,0.49369047619047607
yolo26n,n_ep50_bs32_lr1e-02,50,32,0.01,0.5381794512676865,0.5161915029831071
yolo26n,n_ep50_bs8_lr1e-02,50,8,0.01,0.5292201657991131,0.5205889724310777
yolo26n,n_ep25_bs8_lr1e-04,25,8,0.0001,0.5243436577182707,0.44290043290043285
yolo26n,n_ep25_bs16_lr1e-02,25,16,0.01,0.5224700789406672,0.5045650192675365
yolo26n,n_ep25_bs8_lr1e-02,25,8,0.01,0.5214735323156376,0.5254409349946875
yolo26n,n_ep50_bs16_lr1e-04,50,16,0.0001,0.5055374295467174,0.4464767980557454
yolo26n,n_ep50_bs32_lr1e-04,50,32,0.0001,0.45766419253261353,0.4662747778537252
yolo26n,n_ep25_bs16_lr1e-04,25,16,0.0001,0.4460722224112318,0.4051355661881978
yolo26n,n_ep25_bs32_lr1e-04,25,32,0.0001,0.365483372836314,0.3257120072909546
yolo26s,s_ep50_bs8_lr1e-02,50,8,0.01,0.5839613526570047,0.44610389610389606
yolo26s,s_ep25_bs16_lr1e-02,25,16,0.01,0.5482912428129145,0.4598364478270601
yolo26s,s_ep50_bs16_lr1e-02,50,16,0.01,0.5471921627676102,0.4880132148553201
yolo26s,s_ep25_bs32_lr1e-02,25,32,0.01,0.5377289377289378,0.5233333333333333
yolo26s,s_ep50_bs8_lr1e-03,50,8,0.001,0.5326501035196688,0.5071062271062271
yolo26s,s_ep25_bs8_lr1e-02,25,8,0.01,0.5325130183825835,0.5038901328556501
yolo26s,s_ep50_bs32_lr1e-03,50,32,0.001,0.5301553348612172,0.4766190476190476
yolo26s,s_ep50_bs32_lr1e-02,50,32,0.01,0.5259523809523808,0.4750147328932936
yolo26s,s_ep50_bs16_lr1e-03,50,16,0.001,0.5175660699062233,0.4604345110227463
yolo26s,s_ep25_bs8_lr1e-03,25,8,0.001,0.49679568797215856,0.4928636977058029
yolo26s,s_ep25_bs16_lr1e-03,25,16,0.001,0.4957325354384178,0.4783162451583505
yolo26s,s_ep25_bs32_lr1e-03,25,32,0.001,0.49410344041922993,0.47462160646371176
yolo26s,s_ep50_bs8_lr1e-04,50,8,0.0001,0.4603973034189752,0.43575214259424777
yolo26s,s_ep50_bs16_lr1e-04,50,16,0.0001,0.4436070858965596,0.42091231575442106
yolo26s,s_ep25_bs8_lr1e-04,25,8,0.0001,0.4186277056277056,0.4003663003663004
yolo26s,s_ep50_bs32_lr1e-04,50,32,0.0001,0.400195432586737,0.3105103668261563
yolo26s,s_ep25_bs16_lr1e-04,25,16,0.0001,0.38979076479076485,0.3019633582791478
yolo26s,s_ep25_bs32_lr1e-04,25,32,0.0001,0.2886147186147186,0.203282900674205
